"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Sehir_model.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 47
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Servis_model.php", "PHP", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 178
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Siparis_model.php", "PHP", 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 187
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Siparis_onay_hareket_model.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Siparis_urun_model.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Stok_model.php", "PHP", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 28, 39, 215
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Talep_kaynak_model.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Talep_model.php", "PHP", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 76
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Talep_sonuc_model.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Talep_yonlendirme_model.php", "PHP", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 113
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Teklif_form_model.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Urun_model.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 63
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Yemek_model.php", "PHP", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 31
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\third_party\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\views\abonelik\edit\main_content.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\views\abonelik\form\main_content.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\views\abonelik\list\main_content.php", "PHP", 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 136
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\views\anasayfa\main_content copy 2.php", "PHP", 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 2, 106, 299
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\views\anasayfa\main_content copy.php", "PHP", 0, 329, 0, 0, 0, 0, 0, 0, 0, 0, 2, 234, 565
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\views\anasayfa\main_content.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 51
